"Sad","Happy","Anxious","Tired"
"Sunset Refresher","Watermelon Refresher","Iced Passion Tea","Grande Blonde Roast"
"Medicine Ball","Oreo Frappuccino","Passion Tea Lemonade ","Pike Place Roast"
"Caramel Apple Spice","Mango Breeze Frappuccino","Peach Tranquility ","Dark Roast"
"Chai Tea Latte with Pumpkin","Iced Vanilla Chai With Matcha Sweet Cream Cold Foam","Passion Tea Tango Lemonade","Nitro Cold Brew"
"Hazelnut Latte w Whipcream","Red Gummy Bear Refresher","Mint Majesty ","Iced Blonde Caffe Americano"
"Mint Chocolate Chip Icecream","Peaches And Cream Hot Chocolate ","","Iced Black Tea"
"Butterbeer Frappuccino ","Iced White Mocha With Sweet Cream Foam And Caramel Drizzle ","","Expresso "
"Strawberry Shortcake Refresher","Raspberry Lemonade And Mango Dragonfruit Refresher ","","Iced Caramel Macchiato"
"Sugar Cookie Latte","Iced Vanilla Latte With Toasted White Mocha And Vanilla  Sweet Cold Foam","","Vanilla Sweet Cream Cold Brew"
"Hot Apple Chai","Pink Drink With Vanilla Sweet Cold Foam","","Reserve Dark Chocolate Mocha"
"Caramel Macchiato","Strawberry Water ",""," Expresso Frappuccino"
"White Chocolate Mocha Frappuccino","Rose Gold Drink","","Cordusio"
"Cinnamon Dolce Latte","Triple Caramel Threat ","","Iced Grande Triple Espresso"
"Toasted White Mocha","Iced Hot Chocolate ","",""
"Chestnut Praline Latte","","",""
